scope,season,matched,total,accuracy
overall,,194,194,1.0
season,3,8,8,1.0
season,4,8,8,1.0
season,5,9,9,1.0
season,6,8,8,1.0
season,7,8,8,1.0
season,8,9,9,1.0
season,9,9,9,1.0
season,10,8,8,1.0
season,11,9,9,1.0
season,12,8,8,1.0
season,13,9,9,1.0
season,14,8,8,1.0
season,15,7,7,1.0
season,16,8,8,1.0
season,17,8,8,1.0
season,18,7,7,1.0
season,19,9,9,1.0
season,20,8,8,1.0
season,21,6,6,1.0
season,22,7,7,1.0
season,23,8,8,1.0
season,24,8,8,1.0
season,25,7,7,1.0
season,26,3,3,1.0
season,27,7,7,1.0
