season,week,k_actual,predicted_size,consistent,hit_rate,actual_eliminated,predicted_eliminated
1,2,1,1,1.0,1.0,Trista Sutter,Trista Sutter
1,3,1,1,1.0,1.0,Evander Holyfield,Evander Holyfield
1,4,1,1,1.0,1.0,Rachel Hunter,Rachel Hunter
1,ALL,,,1.0,,,
2,1,1,1,1.0,1.0,Kenny Mayne,Kenny Mayne
2,2,1,1,1.0,1.0,Tatum O'Neal,Tatum O'Neal
2,3,1,1,1.0,1.0,Giselle Fernandez,Giselle Fernandez
2,4,1,1,1.0,1.0,Master P,Master P
2,5,1,1,1.0,1.0,Tia Carrere,Tia Carrere
2,6,1,1,1.0,1.0,George Hamilton,George Hamilton
2,7,1,1,1.0,1.0,Lisa Rinna,Lisa Rinna
2,ALL,,,1.0,,,
28,2,1,1,1.0,1.0,Mary Wilson,Mary Wilson
28,4,1,1,1.0,1.0,Lamar Odom,Lamar Odom
28,6,1,1,0.0,0.0,Sailor Brinkley-Cook,Sean Spicer
28,7,1,1,1.0,1.0,Karamo Brown,Karamo Brown
28,8,1,1,1.0,1.0,Kate Flannery,Kate Flannery
28,9,1,1,1.0,1.0,Sean Spicer,Sean Spicer
28,10,1,1,1.0,1.0,James Van Der Beek,James Van Der Beek
28,ALL,,,0.8571,,,
29,2,1,1,1.0,1.0,Charles Oakley,Charles Oakley
29,3,1,1,1.0,1.0,Carole Baskin,Carole Baskin
29,4,1,1,1.0,1.0,Anne Heche,Anne Heche
29,5,1,1,1.0,1.0,Jesse Metcalfe,Jesse Metcalfe
29,6,1,1,1.0,1.0,Veron Davis,Veron Davis
29,7,1,1,1.0,1.0,Monica Aldama,Monica Aldama
29,8,1,1,1.0,1.0,Chrishell Stause,Chrishell Stause
29,9,1,1,1.0,1.0,AJ McLean,AJ McLean
29,10,2,3,1.0,1.0,Skai Jackson;Johnny Weir,Skai Jackson;Johnny Weir;Nelly
29,ALL,,,1.0,,,
30,2,1,1,1.0,1.0,Martin Kove,Martin Kove
30,3,1,1,0.0,0.0,Christine Chiu,Cody Rigsby
30,4,2,2,1.0,1.0,Brian Austin Green;Matt James,Brian Austin Green;Matt James
30,5,1,1,0.0,0.0,Melanie C,Iman Shumpert
30,6,1,1,1.0,1.0,Kenya Moore,Kenya Moore
30,7,1,1,1.0,1.0,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin"
30,8,2,2,1.0,1.0,Jimmie Allen;Olivia Jade,Jimmie Allen;Olivia Jade
30,9,2,2,1.0,1.0,Melora Hardin;Suni Lee,Melora Hardin;Suni Lee
30,ALL,,,0.75,,,
31,1,1,1,1.0,1.0,Jason Lewis,Jason Lewis
31,2,1,1,1.0,1.0,Teresa Giudice,Teresa Giudice
31,3,1,1,1.0,1.0,Cheryl Ladd,Cheryl Ladd
31,4,1,1,1.0,1.0,Sam Champion,Sam Champion
31,5,1,1,1.0,1.0,Joseph Baena,Joseph Baena
31,6,1,1,1.0,1.0,Jessie James Decker,Jessie James Decker
31,7,1,1,1.0,1.0,Jordin Sparks,Jordin Sparks
31,8,2,2,1.0,1.0,Heidi D'Amelio;Vinny Guadagnino,Heidi D'Amelio;Vinny Guadagnino
31,9,2,2,1.0,1.0,Trevor Donovan;Daniel Durant,Trevor Donovan;Daniel Durant
31,ALL,,,1.0,,,
32,1,1,1,1.0,1.0,Matt Walsh,Matt Walsh
32,2,1,3,1.0,1.0,Jamie Lynn Spears,Jamie Lynn Spears;Harry Jowsey;Mauricio Umansky
32,3,1,1,1.0,1.0,Tyson Beckford,Tyson Beckford
32,4,1,1,0.0,0.0,Adrian Peterson,Alyson Hannigan
32,5,1,1,0.0,0.0,Mira Sorvino,Harry Jowsey
32,6,1,1,1.0,1.0,Mauricio Umansky,Mauricio Umansky
32,7,1,1,0.0,0.0,Lele Pons,Harry Jowsey
32,8,1,1,1.0,1.0,Barry Williams,Barry Williams
32,9,1,1,1.0,1.0,Harry Jowsey,Harry Jowsey
32,ALL,,,0.6667,,,
33,2,2,3,1.0,1.0,Tori Spelling;Anna Delvey,Tori Spelling;Eric Roberts;Anna Delvey
33,3,2,2,1.0,1.0,Eric Roberts;Reginald VelJohnson,Eric Roberts;Reginald VelJohnson
33,4,1,1,0.0,0.0,Brooks Nader,Dwight Howard?
33,5,1,1,1.0,1.0,Phaedra Parks,Phaedra Parks
33,6,1,3,1.0,1.0,Jenn Tran,Stephen Nedoroscik;Ilona Maher;Jenn Tran
33,7,1,1,1.0,1.0,Dwight Howard?,Dwight Howard?
33,ALL,,,0.8333,,,
34,2,2,2,1.0,1.0,Corey Feldman;Baron Davis,Corey Feldman;Baron Davis
34,3,1,1,1.0,1.0,Lauren Jauregui,Lauren Jauregui
34,4,1,1,0.0,0.0,Hilaria Baldwin,Andy Richter
34,6,1,1,1.0,1.0,Scott Hoying,Scott Hoying
34,7,1,1,1.0,1.0,Jen Affleck,Jen Affleck
34,8,1,1,1.0,1.0,Danielle Fishel,Danielle Fishel
34,9,1,1,1.0,1.0,Andy Richter,Andy Richter
34,10,1,3,1.0,1.0,Whitney Leavitt,Elaine Hendrix;Whitney Leavitt;Dylan Efron
34,ALL,,,0.875,,,
