alpha,beta,gamma,objective_sum,objective_avg,valid_seasons,season_status,output_dir
1.0,0.05,10.0,2710.7499999999995,301.1944444444444,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:OPTIMAL;30:OPTIMAL;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:OPTIMAL,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p05_g10p0
1.0,0.1,10.0,2907.2999999999997,323.0333333333333,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:OPTIMAL;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:OPTIMAL,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p1_g10p0
1.0,0.2,10.0,3269.7999999999997,363.3111111111111,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:FEASIBLE;31:FEASIBLE;32:OPTIMAL;33:OPTIMAL;34:FEASIBLE,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p2_g10p0
1.0,0.05,50.0,3936.9500000000003,437.4388888888889,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:OPTIMAL;30:OPTIMAL;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:OPTIMAL,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p05_g50p0
1.0,0.1,50.0,4171.1,463.4555555555556,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:OPTIMAL;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:OPTIMAL,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p1_g50p0
1.0,0.2,50.0,4605.0,511.6666666666667,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:FEASIBLE;31:FEASIBLE;32:OPTIMAL;33:OPTIMAL;34:FEASIBLE,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p2_g50p0
1.0,0.05,100.0,5036.950000000001,559.6611111111112,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:OPTIMAL;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:OPTIMAL,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p05_g100p0
1.0,0.1,100.0,5271.1,585.6777777777778,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:FEASIBLE;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:OPTIMAL,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p1_g100p0
1.0,0.2,100.0,5706.2,634.0222222222222,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:FEASIBLE;31:FEASIBLE;32:OPTIMAL;33:OPTIMAL;34:FEASIBLE,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p2_g100p0
1.0,0.05,200.0,7236.950000000001,804.1055555555556,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:OPTIMAL;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:OPTIMAL,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p05_g200p0
1.0,0.1,200.0,7471.100000000001,830.1222222222224,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:OPTIMAL;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:OPTIMAL,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p1_g200p0
1.0,0.2,200.0,7905.0,878.3333333333334,9,1:OPTIMAL;2:OPTIMAL;28:OPTIMAL;29:FEASIBLE;30:FEASIBLE;31:OPTIMAL;32:OPTIMAL;33:OPTIMAL;34:FEASIBLE,/home/hisheep/d/MCM/26/task1-4/outputs/grid_a1p0_b0p2_g200p0
