season,total_weeks,same_weeks,consistency_rate,percent_final_exact,rank_final_exact
1,4,4,100.0,True,True
2,7,7,100.0,True,False
3,8,5,62.5,True,True
4,8,4,50.0,True,True
5,9,5,55.55555555555556,True,True
6,8,7,87.5,True,False
7,8,7,87.5,True,False
8,9,6,66.66666666666666,True,True
9,9,5,55.55555555555556,True,True
10,8,5,62.5,True,True
11,9,7,77.77777777777779,True,True
12,8,6,75.0,True,False
13,9,5,55.55555555555556,True,True
14,8,4,50.0,True,True
15,7,3,42.857142857142854,True,True
16,7,7,100.0,True,True
17,8,5,62.5,True,False
18,6,5,83.33333333333334,True,True
19,9,5,55.55555555555556,True,False
20,8,2,25.0,True,True
21,6,3,50.0,True,False
22,7,4,57.14285714285714,True,True
23,8,4,50.0,True,False
24,8,5,62.5,True,True
25,7,3,42.857142857142854,True,False
26,3,3,100.0,True,True
27,7,3,42.857142857142854,True,False
28,7,6,85.71428571428571,True,False
29,9,8,88.88888888888889,False,False
30,8,8,100.0,True,False
31,9,7,77.77777777777779,True,True
32,9,8,88.88888888888889,False,False
33,6,4,66.66666666666666,False,False
34,8,7,87.5,True,False
