地区,平均名次,人数,获奖人数,获奖率
California,7.694,72,14,0.194
New York,7.681,47,8,0.17
Texas,6.44,25,6,0.24
Florida,6.15,20,5,0.25
Georgia,5.4,15,5,0.333
Illinois,7.0,15,4,0.267
Ohio,9.0,13,1,0.077
Pennsylvania,5.231,13,5,0.385
Michigan,6.778,9,1,0.111
New Jersey,8.667,9,2,0.222
Kentucky,8.0,8,1,0.125
Louisiana,4.375,8,4,0.5
Alabama,4.714,7,3,0.429
Massachusetts,5.833,6,1,0.167
Maryland,7.0,6,1,0.167
Iowa,5.5,6,2,0.333
Virginia,5.833,6,2,0.333
Connecticut,5.667,6,2,0.333
Mississippi,6.8,5,2,0.4
Washington,6.2,5,1,0.2
Kansas,6.2,5,1,0.2
Washington D.C.,7.25,4,1,0.25
Utah,4.75,4,2,0.5
South Carolina,5.5,4,1,0.25
North Carolina,7.5,4,1,0.25
Hawaii,4.0,4,2,0.5
Indiana,8.25,4,0,0.0
Missouri,7.75,4,0,0.0
Arizona,5.333,3,1,0.333
Oregon,5.333,3,2,0.667
Delaware,6.5,2,0,0.0
Alaska,6.0,2,1,0.5
Arkansas,6.0,2,1,0.5
Colorado,6.0,2,1,0.5
Maine,2.5,2,2,1.0
Minnesota,5.5,2,0,0.0
New Mexico,9.5,2,0,0.0
Wisconsin,6.5,2,0,0.0
Tennessee,8.0,2,0,0.0
Nevada,7.0,2,1,0.5
Nebraska,2.0,1,1,1.0
New Hamshire,5.0,1,0,0.0
Rhode Island,10.0,1,0,0.0
South Dakota,14.0,1,0,0.0
West Virginia,9.0,1,0,0.0
